Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.678429842319806,0.89260990231199,1.31112689300818,0,0,0,0.0944596926666318,2.49395953752312E-05,-1.12263643586799E-07,1.05007095359662E-09,4.59171615103605E-05,-8.45504983950467E-09,3.13098714846083E-05,0,0,0,0,0,0,package://Complete Arm Assembly/meshes/base_link.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://Complete Arm Assembly/meshes/base_link.STL,,4. Base Plate-1;8. Base Link-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,-2.05090133764685E-08,0.0278726594910612,-0.000663878104481652,0,0,0,0.04515255146413,1.25218328608314E-05,6.69659772250678E-12,3.83286954101685E-11,7.47176371292326E-06,6.35306176464869E-09,1.07173661089209E-05,0,0,0,0,0,0,package://Complete Arm Assembly/meshes/link_1.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://Complete Arm Assembly/meshes/link_1.STL,,9. Base Joint-1;10. Link1-1,Origin_joint_1,Axis_joint_1,joint_1,revolute,0.69033,-1.3112,0.92243,1.5708,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
link_2,0.00856134694342625,0.187569467925803,-0.000442875607636672,0,0,0,0.0676816456886685,2.06796748549735E-05,2.87624368274702E-11,6.34388257179686E-09,1.65560858652842E-05,-4.60294480256048E-11,2.27201206167372E-05,0,0,0,0,0,0,package://Complete Arm Assembly/meshes/link_2.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://Complete Arm Assembly/meshes/link_2.STL,,12. Joint 1-1;13. Link 2-1;14. Link 2 Mount-1;15. Joint 3-1,Origin_joint_2,,joint_2,revolute,0,-0.041995,0,0,0,0,link_1,0,0,0,0,0,0,0,,,,,,,,
link_3,6.72449921079732E-07,0.176428572801604,0.000486409934538967,0,0,0,0.0616267578939111,1.85838494550151E-05,-2.98586313533527E-11,3.9525900966642E-11,1.02605602568641E-05,-6.35279283973775E-09,1.54040163656299E-05,0,0,0,0,0,0,package://Complete Arm Assembly/meshes/link_3.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://Complete Arm Assembly/meshes/link_3.STL,,12. Joint 1-2;16. Link 3 arm-1;17. Joint 4-1;15. Link 3 end-1,Origin_joint_3,,joint_3,revolute,-0.0585,0.2105,0,3.1416,0,1.5708,link_2,0,0,0,0,0,0,0,,,,,,,,
link_4,0.198731760746641,0.222297475484908,-0.000207275680620178,0,0,0,0.181115636338247,0.000125082991274636,-1.91715184150939E-07,-3.18809492113977E-07,7.5271072033322E-05,2.81456890258401E-09,7.57487396444E-05,0,0,0,0,0,0,package://Complete Arm Assembly/meshes/link_4.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://Complete Arm Assembly/meshes/link_4.STL,,18. Link End Effector-1;3. wrist joint mount-1;7. XL430_W250_T-1;2. wrist joint cover-1,Origin_joint_4,,joint_4,revolute,-0.2105,0.0585,0,3.1416,0,1.5708,link_3,0,0,0,0,0,0,0,,,,,,,,
end_effector,-5.22446375050833E-08,-0.0170248103697797,0.0316074462502707,0,0,0,0.0448261455614491,1.48346334805848E-05,1.04956819868227E-07,-4.142452998686E-09,1.38058356627431E-05,6.81252259255115E-07,2.3557490611066E-05,0,0,0,0,0,0,package://Complete Arm Assembly/meshes/end_effector.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://Complete Arm Assembly/meshes/end_effector.STL,,5. end effector mount-1;End Effector Full Build-1/2. Right Limit-1;End Effector Full Build-1/3. Left Limitt-1;End Effector Full Build-1/9. Prong Mounts-1,Origin_joint_5,,joint_5,revolute,0.2223,0.24575,0.0005,0,1.5708,0,link_4,0,0,0,0,0,0,0,,,,,,,,
right_finger,0.239118086547226,0.210624080278204,0.0195971430490773,0,0,0,0.0287713290324161,7.70020810555669E-06,-3.29946062739848E-09,2.1767893928585E-07,8.54305538090567E-06,3.07283827617671E-08,1.30617201704644E-05,0,0,0,0,0,0,package://Complete Arm Assembly/meshes/right_finger.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://Complete Arm Assembly/meshes/right_finger.STL,,End Effector Full Build-1/5. Right Mount-1;End Effector Full Build-1/6. Right Prong-1;End Effector Full Build-1/4. Left Hook-1;End Effector Full Build-1/9. Right Tab-1,Origin_joint_52,,joint_5,revolute,-0.025636,-0.23271,-0.1688,3.1416,-1.5708,0,end_effector,0,0,0,0,0,0,0,,,,,,,,
left_finger,0.23911808655568,0.210459665073586,-0.019596977728275,0,0,0,0.0287713290324178,7.70020810574403E-06,3.29946061413401E-09,-2.1767894158894E-07,8.54294598243539E-06,3.12650719969816E-08,1.30618295687512E-05,0,0,0,0,0,0,package://Complete Arm Assembly/meshes/left_finger.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://Complete Arm Assembly/meshes/left_finger.STL,,End Effector Full Build-1/8. Left Prong-1;End Effector Full Build-1/10. Left Tab-1;End Effector Full Build-1/7. Left Mount-1;End Effector Full Build-1/11. Right Hook-1,Origin_joint_53,,joint_5,revolute,0.025636,-0.23291,-0.169,3.1416,-1.5708,0,end_effector,0,0,0,0,0,0,0,,,,,,,,
