Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0120741803585021,0.0161782834147617,-0.000116249421738708,0,0,0,0.094459692666633,2.49395953752314E-05,-1.07943571271677E-07,1.09620010487629E-09,4.59171379732494E-05,8.47831697328066E-09,3.13098479474975E-05,0,0,0,0,0,0,package://Complete Arm Assembly/meshes/base_link.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://Complete Arm Assembly/meshes/base_link.STL,,8. Base Link-1;4. Base Plate-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,-2.05090133278962E-08,0.0278726594910614,-0.000663878104482064,0,0,0,0.0451525514641292,1.25218328608314E-05,6.69659767784091E-12,3.83286954309758E-11,7.47176371292313E-06,6.35306176471434E-09,1.07173661089209E-05,0,0,0,0,0,0,package://Complete Arm Assembly/meshes/link_1.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://Complete Arm Assembly/meshes/link_1.STL,,9. Base Joint-1;10. Link1-1,Origin_joint_1,Axis_joint_1,joint_1,revolute,0.023946,0.00023432,0.045995,1.5708,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
link_2,0.00856134694341014,0.187569467925815,-0.000442875607637052,0,0,0,0.067681645688669,2.06796748549735E-05,2.87624368311749E-11,6.34388257183012E-09,1.65560858652843E-05,-4.60294479835084E-11,2.27201206167373E-05,0,0,0,0,0,0,package://Complete Arm Assembly/meshes/link_2.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://Complete Arm Assembly/meshes/link_2.STL,,13. Link 2-1;12. Joint 1-1;15. Joint 3-1;14. Link 2 Mount-1,Origin_joint_2,Axis_joint_1,joint_2,revolute,0,-0.041995,0,0,0,0,link_1,0,0,0,0,0,0,0,,,,,,,,
link_3,0.117928572801603,0.210500672449924,-0.000486409947105011,0,0,0,0.0616267578939116,1.02605602568643E-05,-2.98586314510734E-11,6.35279283997119E-09,1.85838494550151E-05,-3.9525900878249E-11,1.54040163656297E-05,0,0,0,0,0,0,package://Complete Arm Assembly/meshes/link_3.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://Complete Arm Assembly/meshes/link_3.STL,,16. Link 3 arm-1;12. Joint 1-2;15. Link 3 end-1;17. Joint 4-1,Origin_joint_3,Axis_joint_1,joint_3,revolute,0,0,0,0,0,0,link_2,0,0,0,0,0,0,0,,,,,,,,
link_4,0.198731760746628,0.222297475484897,-0.000207275680606036,0,0,0,0.181115636338247,0.000125082991280758,-1.91715182419283E-07,-3.18809492114017E-07,7.52710720340047E-05,2.81456890255547E-09,7.57487396509343E-05,0,0,0,0,0,0,package://Complete Arm Assembly/meshes/link_4.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://Complete Arm Assembly/meshes/link_4.STL,,18. Link End Effector-1;7. XL430_W250_T-1;3. wrist joint mount-1;2. wrist joint cover-1,Origin_joint_4,Axis_joint_1,joint_4,revolute,0,0,0,0,0,0,link_3,0,0,0,0,0,0,0,,,,,,,,
link_5,-5.52377223633316E-08,-0.0167248831478862,0.0307133006019892,0,0,0,0.0423967323938748,1.47396918947412E-05,6.78079438828771E-08,-4.14245295764945E-09,1.35880683129479E-05,6.81252259247023E-07,2.32714687075918E-05,0,0,0,0,0,0,package://Complete Arm Assembly/meshes/link_5.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://Complete Arm Assembly/meshes/link_5.STL,,5. end effector mount-1;End Effector Full Build-1/2. Right Limit-1;End Effector Full Build-1/3. Left Limitt-1,Origin_joint_5,Axis_joint_1,joint_5,revolute,0.2223,0.24575,0.0005,0,1.5708,0,link_4,0,0,0,0,0,0,0,,,,,,,,
left_finger_link,0.239958021974177,0.21053225669716,0.020132755387061,0,0,0,0.0274218746612953,7.35775041024067E-06,-3.29946062083587E-09,2.17678939216698E-07,8.21755201624364E-06,-1.75531616469836E-10,1.30421771999727E-05,0,0,0,0,0,0,package://Complete Arm Assembly/meshes/left_finger_link.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://Complete Arm Assembly/meshes/left_finger_link.STL,,End Effector Full Build-1/6. Right Prong-1;End Effector Full Build-1/5. Right Mount-1;End Effector Full Build-1/9. Right Tab-1,Origin_left_finger_joint,Axis_joint_1,left_finger_joint,prismatic,-0.025636,-0.23271,-0.1688,3.1416,-1.5708,0,link_5,0,1,0,0,0,0,0,,,,,,,,
right_finger_link,0.239958021982825,0.21054897042634,-0.0201327552839893,0,0,0,0.0274218746612954,7.35775041042768E-06,3.29946062091814E-09,-2.17678941658251E-07,8.21755201624378E-06,-1.75531615072735E-10,1.30421771997858E-05,0,0,0,0,0,0,package://Complete Arm Assembly/meshes/right_finger_link.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://Complete Arm Assembly/meshes/right_finger_link.STL,,End Effector Full Build-1/7. Left Mount-1;End Effector Full Build-1/8. Left Prong-1;End Effector Full Build-1/10. Left Tab-1,Origin_right_finger_joint,Axis_joint_1,right_finger_joint,prismatic,0.025636,-0.23291,-0.169,3.1416,-1.5708,0,link_5,0,1,0,0,0,0,0,,,,,,,,
